	sen_id	adv_sentence
0	0	.............................
1	2	............................. 
2	9	..  blundering'style into something that could really help clear the case. broomfield  blundering'style into something that could really help clear the case...
3	16	,............................
4	17	,tadpole..........................
5	19	, and the jabs it employs are short, carefully placed and dead-center...................
6	20	,. Despite its title, punch-drunk love is never punch-drunk. Despite its title, punch-drunk love is never heavy-handed.......dr
7	29	............................ 
8	34	the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable
9	37	chai encourages rueful laughter at stereotypes only an indian-american would recognize...................
10	38	-flick sentimentality..........................
11	39	.............................
12	41	and............................ 
13	45	............................ 
14	47	, but it's actually pretty good in the first few minutes. Honestly,. Honestly, though,,. Honestly, the longer the movie goes, the worse it gets, but it's actually pretty
15	53	.............................
16	54	............................. 
17	60	's  solaris'is a failure it is a glorious failure.... solaris's  solaris'is a failure it is a glorious failure.s 
18	64	. This is the sort of burly action flick. This is the sort of burly action flick. This is the sort of burly action flick. This is the sort of burly action flick. This is the sort of burly action flick. This
19	68	-noir,.-noir, minority report isnoir, minority report is-noir, minority report isnoir, minority report is,noir,noir,.
20	69	............................. 
21	71	............................. 
22	75	like a japanese alice through the looking glass......................
23	81	............................ 
24	82	,............................ 
25	85	.............................
26	92	and............................
27	99	is that........................... 
28	100	s a scattershot affair. When it hits its mark it's brilliant. When it misses its mark it's scattershot affair. When it misses its marks brilliant......
29	105	.............................
30	107	blues............................
31	118	.............................
32	121	and............................
33	126	............................
34	136	. It has all the depth. It has all the depth. It has all the depth. It has all the depth. It has all the depth. It has all the depth. It has all the depth.
35	140	, and you won't need a magic watch to stop time ; your dvd player will stop time for you. You won't need a magic watch to stop time, and you won't need a magic watch to stop time.. 
36	143	s new film blackboards.'s new film blackboards.'s's.af's new film blackboards is much like a stream of consciousness, although, the thoughts and reflections coming through in
37	144	.............................
38	148	. Even succeeds in instilling a wary sense of  there but for the grace of god,' even even Even Even there but for the grace of god '. Evena
39	149	,........................... 
40	153	. All. All in all, this is a watchable movie that. All in all, this is a watchable movie. All. All in all, this is a watchable movie. All,. All.
41	161	, even. even even even if director michael dowse only superficially understands his characters, he doesn't hold them in contempt. even if director michael dowse only superficially understands
42	165	.............................
43	169	............................ 
44	185	and scratching is scratching. scratching is scratching. scratching is scratching. scratching is scratching. scratching is scratching. scratching is scratching. scratching. scratching. scratching.
45	188	,........................... 
46	192	s breeziness,......................... 
47	195	.  get in the car, bitch '... while there's something intrinsically funny about sir anthony hopkins saying  get in the car,'this jerry bruckheimer production has
48	199	............................. 
49	204	.............................
50	211	's...........................
51	215	,............................ 
52	216	. The........................... 
53	225	s to two completely different choirs at the same time. He. He....................
54	227	.............................
55	236	into something strangely.......................... 
56	247	and............................ 
57	258	, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans, movie fans,
58	259	............................. 
59	274	the more you 'll enjoy it. the lower your expectations, the more you 'll enjoy it.................
60	282	s madness, it's madness, it's madness, it's madness, it's madness, it's madness, it's madness, it's mad
61	284	.............................
62	286	,  frankly, my dear, i don't give a damn,' have never been more appropriate............
63	294	a sequel, The Ring, a similarly morose and humorless horror movie that, although flawed, is commended for its straight-forward approach to creepiness. Following closely on the heels of the ring comes a similarly morose and humorless
64	305	-- nothing's at stake, nothing's at stake, nothing's at stake -- nothing's at stake, nothing's at stake, nothing's at stake -- still, the derivative nine queens is lots of
65	311	.............................
66	314	.............................
67	330	joe carnahan's gritty crime drama is a manual of pre/director joe carnahan's grimy crime drama is a manual of pre/director cliches...s
68	336	........................... 
69	338	chabrol has taken promising material for a black comedy and turned it into a somber chamber drama.................
70	343	. The. The Thea The the. The. The of political correctness. The. The hypocrisy of political correctness. The pumpkin takes an admirable look at the hypocrisy of political
71	352	............................ 
72	364	,-horror '' flick is a-horror '' flick is a '' The '' The flick is a ''--horror ''
73	366	. In the end, however,........................
74	368	.............................
75	374	.............................
76	383	lion king is bigger, not bigger....................... 
77	387	.............................
78	389	...
79	390	harrison's flowers puts its heart in the right place, but its brains puts its heart in no particular place. harrison's flowers harrison's flowers harrison's flowers harrison's flowers
80	392	last. '' last 45 minutes.' last 45 minutes. No screen fantasy-adventure has the showmanship of clones'last 45 minutes. No screen fantasy-adventure has the' last 45 minutes
81	394	.............................
82	401	............................. 
83	403	it's........................... 
84	406	deftly captures the wonder and menace of fuhrman's destructive escapism and the grace-in-rebellion found by his characters.........
85	408	,........................... 
86	412	that for the first time he 'll probably appeal more to guys than to their girlfriends who drag their girlfriends to this movie for the hugh factor. What's more he's probably.....
87	417	.............................
88	420	Good film, but very glum.
89	425	(c) oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful.
90	431	.............................
91	433	. It...........................
92	435	to be fun, with energetic musicals, with energetic musicals. While the show was. While the show was determined to be fun, with energetic musicals, with energetic musicals, Although, and,,
93	437	rap music or loathe it,. Whether you like rap music or loathe it,. Whether you like rap music or loathe it,. Whether you like rap music or loathe it,
94	439	's........................... 
95	445	,........................... 
96	447	............................. 
97	449	. It's as unseemly as its title suggests. It's as unseemly as its title suggests. It's as unseemly as its title suggests.
98	453	,........................... 
99	458	(lawrence bounces) all over the stage, jumping (lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawrence bounces) all over the stage
100	465	,...,.......................
101	467	............................ 
102	479	were focused on the characters.......................... 
103	481	,........................... 
104	483	that............................
105	496	,,.......................... 
106	498	............................ 
107	509	s a demented kitsch mess ands a demented kitsch mess (although the smeary digital video matches the muddled narrative). Yes,. Yes,. Yes, it's a demented kitsch mess
108	514	khouri...........................
109	515	's........................... 
110	516	insurrection...........................
111	517	.............................
112	527	.............................
113	528	............................. 
114	535	monsoon wedding. And........................ 
115	541	and........................... 
116	545	.............................
117	548	............................. 
118	558	, atom egoyan... atom egoyan..... egoyan. atom egoyan...... atom egoyan
119	559	i spy...........................
120	561	.............................
121	564	like  divine secrets of the ya ya sisterhood '' or  divine secrets of the ya ya sisterhood, ''........ 
122	571	.............................
123	572	............................ 
124	575	............................. 
125	580	'll bet the video game is a lot more fun than the film......ll bet the video game is a lot more fun than the film..'ll bet the'll bet
126	581	.............................
127	584	is exactly what the title, a report. A. A minority report is exactly what the title, a report. A. A. A. A. A. A. A. A. A
128	587	............................ 
129	589	.............................
130	591	. And............................
131	593	............................. 
132	595	ritchie.......................... 
133	604	and what time there?? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what
134	607	sequel to the classic disney adaptation of j.m. barrie's peter pan.................. 
135	610	come on. oh come on. oh come on. oh come on. oh come on. oh come on.
136	612	.............................
137	616	............................. 
138	628	,............................ 
139	640	, flip and terribly hip bit of cinematic entertainment., flip and terribly hip bit of cinematic entertainment., flip and terribly hip bit of cinematic entertainment.., flip and terribly hip bit of cinematic entertainment.
140	651	a film............................
141	661	,............................ 
142	667	(for  big bad love '') is...................... 
143	668	. Without a doubt one of the funniest, funniest, and funniest movies in the history of animation, this is one of the funniest, funniest, and funniest movies of all time. Without a doubt one of the funnies
144	678	david jacobson's dahmer.
145	682	,............................
146	683	............................ 
147	685	.............................
148	688	............................ 
149	692	, if you can stomach the rough content,.......................
150	697	,  thank you! ',  thank you! ',  thank you! ',  thank you! ',  thank you! ',  thank you!
151	700	proof............................
152	716	of fire looks as if it was made without much thought -- and is best watched that way. The reign of fire looks as if it was made without much thought -- and is best watched that way. The reign of fire looks as if it was made without much thought
153	717	set in........................... 
154	718	............................. 
155	719	,........................... 
156	721	.............................
157	725	.............................
158	734	, and heartbreaking..........................
159	735	.............................
160	739	s'.......................... 
161	742	.............................
162	747	,............................ 
163	749	............................. 
164	754	!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
165	755	,............................ 
166	756	.............................
167	759	. Nickelodeon's animated feature films are far.......................
168	763	,............................
169	767	's........................... 
170	773	(w). (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w) (w
171	774	which is emotionally diluted by focusing on the story's least interesting subject. An. An which is emotionally diluted by focusing on the story's least interesting subject.. An intriguing documentary which is emotionally diluted by focusing on the
172	778	............................. 
173	779	.............................
174	780	at the same time.......................... 
175	785	, nicks, nicks, nicks, nicks, nicks,s, nicks, nicks, nicks,,s,s,
176	792	about alienation, separation and loss. A comedy about alienation, separation and loss. A comedy about alienation, separation and loss.
177	793	.............................
178	794	hilariously inept and ridiculous..... inept and ridiculous...... inept and ridiculous... and. and ridiculous. and
179	800	of............................
180	802	and............................ 
181	808	.............................
182	810	s fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun
183	815	. In fact,..........................
184	826	and............................
185	842	, even though the character is almost completely deadpan....................... 
186	843	. Rarely has leukemia looked so benign. Rarely has leukemia looked so shimmering. Rarely has leukemia looked so benign. Rarely has leukemia looked so shimmering. Rarely has leukemia looked so benign.
187	849	............................ 
188	850	.............................
189	853	.. vera's technical prowess ends up selling his film short ; he smooths them even as he uncovers them......'' vera's technical pro
190	854	is based on truth, is based on truth, is based on truth and yet there is something that feels incomplete. on truth and yet there is something that feels incomplete, as if the real story starts just around the corner.
191	858	.............................
192	866	.............................
193	867	............................. 
194	868	,............................
